address,operator_address,moniker,tier,allocation
terp1px2q40q3twagt23d4jc7nwdu2kdw59dhhg4zmv,,,1,3
terp1q2274n2ls7c39ndffvajuj38grwfd9jqfuvpnq,,,1,3
terp1q5ed05d6qy9fz7qqcmm5ws6s5yf0grml600apu,,,1,3
terp1q8lg7prxcu0xlzselfp9mam49tu5mrh4gssxce,,,1,3
terp1q9lpyx64r26z8r062nqnr53nglwwt0ff8gg34w,,,1,3
terp1qd8y9px5xyrcfu2nlq79rqdyvcx3e28flcylr5,,,1,3
terp1qfpnat6kc99gsc3233cw6fq0s0fdv7cq06alqu,,,1,3
terp1qhlkyq7vj8ajg02n5c94y89h3g4m4872ntzqul,,,1,3
terp1qs5wez44t9y7pn6d0y2t5te55jxjvp5w7strdg,,,1,3
terp1r2d4qz0wvwgffe8sm8hl0qfx62xn9hjewujfy0,,,1,3
terp1r7sp8qf07jtj437tcz47jpthlqw3ffthsahww9,,,1,3
terp1r930uvkzcmyqqsz8q8zdqp0qw97enewla4l5dr,,,1,3
terp1rge5c5s5gs7zjj42s90fa08ypspsjk7rhtr5pv,,,1,3
terp1rjsnmnp478hx4877uuku6z6z33f7px556mqnjw,,,1,3
terp1rjzsjxsfel6wvgynrw54y36mt4hxrpnl7k2c3h,,,1,3
terp1rxg6dde5u5n4yvl5urr8tdlysf2f3r2hy6xum0,,,1,3
terp1sc9h4dlftwqv82utj52xfgrv0xevuwng68zjp3,,,1,3
terp1sghqztvgjv3ug6ltpvvwwyhpt35u7hu8ha6p42,,,1,3
terp1shsc29w2g5sj9z856k6wrsxhcg7re95pgs56sv,,,1,3
terp1shzdv2ke6dhud0y6n0vf69ss8asxxptwa7cx8f,,,1,3
terp1spnkdssxehxzr9pjye30nm63rmrzt393g0c3tx,,,1,3
terp1suhdd9wha05dgtf6awgnrayqjq6ty8wmkalt2t,,,1,3
terp1sw7w3yy4nplvg3kutw3yssclv9sxascasc7sdz,,,1,3
terp1sw8xa00s68szlyvgp8l2fzqj95w5gjm5qxpuac,,,1,3
terp1t3ljsh28tcmgr36f88xjs28xqtmgq056rvemjc,,,1,3
terp1tqywev6xmvrnagfq57c0h5susdy3l7897xz3tr,,,1,3
terp1tyl97ac3s7sec4jwznk0s7n3tlwf3matfmkape,,,1,3
terp1u6k3g5g2lzdp798vj3nzhaa9aa7aa0ksvdwem8,,,1,3
terp1ujv2gmfwrwzj504ntggqld0q5euafp76s5c6hc,,,1,3
terp1up58u5w8wy558xsy3q4dmfp7tr3w3qg5mp3clh,,,1,3
